[17/12/2025, 08:01:21] 4.196.79.66 ~~ GET wolimp.com.br/galex.php
[17/12/2025, 08:01:21] 4.196.79.66 ~~ GET wolimp.com.br/xb.php
[17/12/2025, 08:01:22] 4.196.79.66 ~~ GET wolimp.com.br/vx.php
[17/12/2025, 08:01:23] 4.196.79.66 ~~ GET wolimp.com.br/rh.php
[17/12/2025, 08:01:23] 4.196.79.66 ~~ GET wolimp.com.br/chosen.php
[17/12/2025, 08:01:25] 4.196.79.66 ~~ GET wolimp.com.br/.well-known/acme-challenge/wp-login.php
[17/12/2025, 08:01:25] 4.196.79.66 ~~ GET wolimp.com.br/xse25.php
[17/12/2025, 08:01:26] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/customize/sx.php
[17/12/2025, 08:01:27] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/blocks/about.php
[17/12/2025, 08:01:28] 4.196.79.66 ~~ GET wolimp.com.br/cgi-bin/wp-login.php
[17/12/2025, 08:01:29] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/includes/index.php
[17/12/2025, 08:01:30] 4.196.79.66 ~~ GET wolimp.com.br/wp-signin.php
[17/12/2025, 08:01:30] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/rest-api/about.php
[17/12/2025, 08:01:31] 4.196.79.66 ~~ GET wolimp.com.br/shoyo.php
[17/12/2025, 08:01:32] 4.196.79.66 ~~ GET wolimp.com.br/flower.php
[17/12/2025, 08:01:33] 4.196.79.66 ~~ GET wolimp.com.br/waq.php
